15000, -5068, 2444, -64,15288, -4984, 2696, -61,17436, -5440, 2356, -66,20748, -6840, 1896, -74,21968, -7768, 2576, -71,19752, -6544, 2072, -72,18036, -5468, 828, -81,17268, -4420, 852, -79,17024, -3472, 268, -85,14528, -2240, 204, -84
15652, -6184, 2748, -66,16084, -6308, 2688, -66,16748, -6896, 3112, -65,17948, -7132, 2728, -69,18588, -6808, 1944, -74,19100, -6692, 1344, -78,18568, -5840, 1180, -78,19084, -5336, 452, -85,18136, -4268, 1016, -76,18576, -4040, -148, -92
16424, -5952, 2344, -68,15596, -5804, 2292, -68,14992, -6048, 2420, -68,15184, -6112, 2080, -71,15852, -6436, 1516, -76,17344, -7160, 1028, -81,19148, -8848, 1588, -79,19828, -8768, 2192, -75,19620, -8844, 1476, -80,17840, -7120, 1260, -79
15396, -6872, 2568, -69,15016, -6456, 2292, -70,15752, -6332, 2204, -70,18536, -8540, 2204, -75,20316, -10288, 2696, -75,19600, -8024, 2220, -74,18064, -7104, 1756, -76,17420, -6292, 844, -82,16068, -4988, 1768, -70,16304, -3576, 588, -80
14764, -7560, 2344, -72,15756, -7868, 2964, -69,16140, -8576, 3432, -68,15772, -8500, 2500, -73,15560, -7864, 2136, -74,16468, -8136, 1524, -79,18780, -7624, 1532, -78,18960, -9888, 1924, -78,17904, -6716, 1076, -80,15464, -6076, 1168, -79
15364, -6876, -56, -90,15500, -6488, 216, -88,15660, -6508, 16, -89,15884, -6808, -172, -91,16636, -7476, 100, -89,19348, -8392, -692, -94,21704, -9312, 292, -88,21328, -7288, -1352, -100,17704, -6968, -196, -91,18832, -5092, -2060, -112
14728, -7672, 328, -87,14340, -7964, 560, -85,14724, -7352, 724, -84,16856, -8504, 212, -88,18768, -10064, 248, -88,19028, -10008, 744, -85,19468, -9388, -524, -93,18008, -9180, 4, -89,18972, -8560, -1112, -97,16696, -5568, -1252, -102
14580, -8380, 1492, -79,14680, -8232, 1384, -80,15088, -7464, 1808, -76,15596, -8264, 928, -83,16856, -9556, -112, -90,19656, -9828, -1232, -97,20648, -10568, -1888, -100,17556, -11504, -144, -90,17612, -8468, -844, -95,16112, -7708, 392, -87
14196, -8492, 1956, -77,14836, -9176, 1900, -78,14684, -8908, 1956, -77,16100, -9648, 1920, -78,17840, -10892, 1848, -80,19036, -11788, 932, -85,18836, -11920, 968, -85,19724, -10216, 492, -87,15988, -9700, 1592, -80,16164, -4848, -1700, -109
14664, -8816, 2132, -76,14304, -9056, 2480, -74,16280, -10024, 1900, -79,18028, -12068, 2436, -78,19212, -11652, 1820, -81,20044, -10832, 1608, -81,20352, -11364, 804, -85,15360, -10984, 1612, -81,12796, -5744, -2476, -113,10100, -1976, -836, -112
13772, -9096, 2044, -77,14460, -9780, 1776, -79,15416, -9908, 1904, -79,16368, -10664, 1468, -82,17008, -11140, 1532, -82,18312, -10880, 1064, -84,18600, -9728, 920, -84,17976, -8136, 580, -85,18052, -6548, -264, -92,15052, -4556, 160, -87
13460, -9828, 104, -89,13760, -10124, -112, -90,14704, -11616, -504, -92,17020, -12884, -1192, -95,18424, -13004, -1000, -94,18456, -12232, -960, -94,18876, -10532, -1484, -98,16116, -9012, -392, -92,15596, -6128, -796, -97,13560, -4764, -440, -95
14576, -9144, 2124, -76,14812, -8712, 2164, -76,15916, -9408, 2252, -76,17828, -11984, 1824, -81,19200, -12932, 1016, -85,19160, -11412, 1684, -81,18944, -10352, 716, -86,18464, -5592, -180, -91,15528, -3936, -792, -101,13708, -4084, -716, -99
14236, -9396, 864, -84,13924, -9032, 588, -86,13856, -9428, 332, -87,15572, -10092, -64, -90,18212, -11320, -1164, -95,21200, -12760, -1140, -95,20828, -11488, -272, -91,17120, -8060, -400, -92,14992, -7060, -192, -91,12020, -3440, -88, -91
20880, -12520, -224, -91,19236, -10552, -468, -92,15352, -6752, -332, -92,15576, -5744, -2528, -113,12952, -4080, -624, -98,13316, -2396, -1616, -123,13924, -2592, -936, -109,12860, -2596, -400, -98,13848, -2452, -1128, -114,13880, -1828, -2552, -144
14880, -8920, 336, -87,16644, -10380, -292, -91,21272, -13720, -480, -92,20828, -11976, 1132, -84,19028, -8920, -172, -91,16836, -7304, 432, -86,14780, -4260, -68, -90,11436, -2520, -1036, -112,9296, -1904, -1596, -129,9956, -232, -2240, -174
14988, -9632, 140, -89,17372, -11684, 412, -87,18840, -12488, -184, -90,18752, -11428, -548, -92,16744, -9036, 0, -90,15236, -7676, -980, -97,14580, -5704, -992, -99,15788, -4588, -872, -100,15184, -3744, -1116, -106,14268, -2676, -2284, -130
14084, -9560, 588, -86,14308, -10292, 148, -89,16840, -11932, 108, -89,19508, -13740, 216, -89,18860, -13212, 432, -88,17496, -10764, -736, -93,15432, -8932, -524, -93,15436, -6852, -1772, -104,12456, -5268, -1160, -102,12404, -4292, -1344, -107
17092, -10620, -52, -90,18448, -9784, -620, -93,18876, -9580, -1424, -98,20300, -9112, -2680, -106,15772, -8088, -476, -93,16180, -8816, -156, -91,13932, -7384, 212, -88,15004, -5984, -1856, -107,11104, -4848, -572, -96,10024, -2764, -1648, -120
19736, -11328, -1312, -96,21216, -8932, -1800, -101,17712, -9104, -532, -93,17252, -7604, -2304, -106,14372, -7172, -1416, -101,13784, -4176, -1324, -107,11204, -3404, -780, -102,10776, -1972, -1556, -128,7736, -564, -1900, -163,8772, -104, -3340, -178
14916, -10500, 20, -89,15944, -11200, -452, -92,18364, -11296, -1068, -95,18628, -10888, -440, -92,18164, -9848, -1072, -96,15652, -8080, -1912, -103,16076, -6472, -3564, -118,14744, -5408, -3008, -119,15588, -3572, -4500, -141,12560, -3684, -2780, -127
20352, -13040, 288, -88,19928, -11704, 2816, -76,18552, -10696, 792, -85,16032, -9212, 976, -83,15444, -7480, 240, -88,14792, -6076, -188, -91,12216, -4756, -440, -95,12388, -3920, -1744, -113,11976, -3196, -2448, -127,13092, -2992, -3356, -138
15900, -11380, 3124, -74,16288, -11776, 3084, -75,16796, -11404, 2484, -77,17720, -10832, 2168, -78,16440, -9800, 2168, -77,16304, -7784, 1400, -79,15416, -6900, 680, -84,14188, -6004, -1448, -103,12692, -4568, -1560, -108,11692, -5264, -688, -97
14456, -10380, 1964, -79,14984, -10924, 1440, -82,17668, -11260, 836, -85,18304, -11116, 796, -85,17292, -10612, 928, -85,15720, -8176, 244, -88,15288, -8252, -348, -92,15356, -5636, -1592, -105,14112, -5512, -1192, -102,14464, -3608, -2004, -119
14216, -9880, 1816, -79,14556, -10276, 2144, -78,16852, -11356, 1936, -80,19512, -12952, 2072, -80,18384, -12144, 1568, -82,16688, -9856, -96, -90,14912, -8200, -344, -92,14884, -6024, -1036, -99,13564, -5296, -696, -97,13268, -4924, -468, -95