788, 1420, 16744, 4,-284, 1708, 15964, 6,-3212, 2080, 15920, 7,-10224, 1816, 15784, 6,-12060, 1564, 16292, 5,-2792, 4944, 15304, 17,1988, 3196, 15252, 11,6752, 2380, 16800, 8,7800, 3296, 17528, 10,6204, 1816, 17556, 5
-732, 1384, 16868, 4,-812, 1448, 16620, 4,-604, 2192, 16488, 7,-2256, 1584, 16604, 5,-4388, 1796, 16652, 6,-7184, 2336, 16732, 7,-6212, 2884, 14936, 10,-3596, 2748, 13972, 11,-3328, 3228, 15060, 12,1972, 3352, 16008, 11
-3740, -160, 16792, 0,-3952, 708, 16568, 2,-6248, 836, 15800, 3,-8712, 1344, 14364, 5,-9500, 2704, 13008, 11,-7364, 3040, 13864, 12,-856, 2808, 14624, 10,3280, 2352, 16956, 7,7512, 2228, 18048, 7,5872, 2080, 19060, 6
-2920, 1380, 16520, 4,-3140, 792, 16576, 2,-3500, 1440, 16228, 5,-5632, 1572, 15132, 5,-6620, 2104, 13884, 8,-6372, 2512, 13148, 10,-4100, 4372, 14368, 16,-7820, 2888, 15916, 10,-5156, 1520, 16112, 5,684, 3916, 18484, 11
-2640, 2884, 16936, 9,-3632, 2864, 16064, 10,-6540, 3252, 14740, 12,-7316, 4844, 12396, 21,-6068, 4564, 13960, 18,-3572, 4092, 14972, 15,-4760, 2528, 16720, 8,-3416, 1856, 16528, 6,-3080, 2528, 16540, 8,-256, 2504, 16680, 8
-5424, 468, 15924, 1,-7776, 516, 15340, 1,-8432, 520, 14116, 2,-8168, 1144, 14028, 4,-10228, 828, 14784, 3,-9480, 1476, 14608, 5,-7252, 1792, 15284, 6,-2052, -356, 15372, -1,3124, -556, 15268, -2,2476, -364, 17584, -1
-6568, 160, 14976, 0,-7784, -92, 14064, 0,-7460, 696, 13820, 2,-6968, 1808, 14588, 7,-7560, 592, 14896, 2,-8320, 972, 14776, 3,-8768, 1048, 15012, 3,-6976, 1740, 14668, 6,-4892, 1416, 15352, 5,-2264, 1072, 17280, 3
-4720, 296, 15256, 1,-5152, 1232, 14784, 4,-5604, 992, 14596, 3,-7340, 2028, 14548, 7,-8656, 188, 14208, 0,-9840, 564, 14536, 2,-6384, 808, 12876, 3,-8760, 1068, 14784, 4,-8108, -680, 15024, -2,-6772, -936, 16852, -3
-4496, 612, 15828, 2,-5136, 1048, 14652, 4,-7180, 1216, 14500, 4,-11276, 1544, 15108, 5,-7840, 2376, 13288, 10,-6212, 2092, 13364, 8,-5632, 2936, 15332, 10,-6884, 392, 15372, 1,-5012, 2628, 16452, 9,-5204, -120, 16196, 0
-3640, 1416, 16180, 5,-3644, 1888, 15400, 6,-6544, 1108, 15612, 4,-9204, 2424, 14972, 9,-16268, 1932, 14236, 7,-6196, 3388, 13180, 14,796, 3352, 14316, 13,2140, 3200, 17832, 10,2764, 532, 17992, 1,2032, -680, 17580, -2
-2364, 3352, 16352, 11,-3276, 2740, 16152, 9,-3328, 2828, 15592, 10,-3616, 2600, 15596, 9,-6504, 2316, 16072, 8,-7568, 2144, 14072, 8,-8756, 1216, 13804, 5,-6392, 3540, 15988, 12,-6512, 1716, 16748, 5,-412, 3564, 16308, 12
-5040, 1060, 14840, 4,-7888, 1032, 14436, 4,-13560, 2296, 13832, 9,-12100, 1692, 11988, 8,-1172, 4040, 11300, 19,-304, 2248, 15824, 8,1672, 756, 16616, 2,-196, -292, 19508, 0,-1560, 444, 20144, 1,-2504, -660, 19512, -1
-7252, 1776, 15336, 6,-12256, 3576, 14608, 13,-14948, 460, 12320, 2,-5572, 868, 11512, 4,452, -36, 15168, 0,4236, -1696, 16484, -5,4244, -1524, 18244, -4,3304, -2520, 19520, -7,1072, -4092, 19812, -11,856, -3908, 18556, -11
-4848, 812, 15900, 2,-6288, 1516, 15224, 5,-8660, 2072, 14732, 8,-7164, 3180, 13508, 13,-5660, 1272, 15740, 4,-2160, 1904, 16232, 6,-1932, 200, 15260, 0,-220, -1812, 15388, -6,2160, 1448, 17200, 4,1932, -288, 18004, 0
-4300, -336, 15968, -1,-5596, 512, 16128, 1,-8060, 1540, 15484, 5,-9788, 1040, 13848, 4,-6852, -540, 14104, -2,-3224, -1608, 15600, -5,-1916, -1740, 18004, -5,512, -244, 17996, 0,-228, -1212, 17764, -3,548, -1292, 16900, -4
-3260, -12, 16080, 0,-5636, -144, 15932, 0,-11476, 692, 16024, 2,-12324, -628, 14604, -2,-568, -12, 12256, 0,1592, -736, 17176, -2,1540, -12, 19108, 0,-1780, -1956, 19292, -5,-2084, -3052, 17288, -10,-1608, -1988, 16824, -6
-8108, -492, 15372, -1,-9952, 316, 14828, 1,-5228, 8, 11772, 0,-1800, 420, 14292, 1,-1224, 276, 18552, 0,2568, 244, 18548, 0,2236, -772, 19756, -2,2448, -3236, 17240, -10,-724, -4564, 17332, -14,-1244, -5080, 18136, -15
-1936, -1192, 17076, -3,-3532, 96, 16480, 0,-7032, -636, 14784, -2,-12168, -392, 12864, -1,-11792, 176, 13192, 0,-2308, -600, 12520, -2,2752, 2036, 18288, 6,2620, 1636, 20016, 4,-996, 712, 20420, 1,-900, -460, 18044, -1
-4304, -452, 15584, -1,-6736, -752, 15344, -2,-7740, -568, 14656, -2,-10512, -376, 15392, -1,-6408, 500, 13048, 2,-4148, -16, 15084, 0,-820, -324, 15780, -1,-884, -76, 17612, 0,-688, -400, 18076, -1,-1660, -1924, 17960, -6
-3228, -444, 16352, -1,-4144, -784, 15816, -2,-6280, -736, 16128, -2,-9952, -396, 15924, -1,-10416, -956, 14336, -3,-4876, -264, 14496, -1,-2160, 432, 16480, 1,604, -380, 17280, -1,544, -1060, 18028, -3,-132, -1896, 18176, -5
-4312, -1316, 16112, -4,-6992, -1504, 15724, -5,-8312, -720, 14500, -2,-6476, -1740, 13712, -7,-4380, -1648, 16172, -5,-1748, 712, 16756, 2,-768, 696, 17420, 2,40, 1128, 17820, 3,316, 108, 17952, 0,-392, -1732, 17616, -5
-7400, -1240, 16188, -4,-8524, -108, 15688, 0,-9136, -2436, 15148, -9,-4096, 1540, 14364, 6,-2600, 96, 16216, 0,1004, 888, 15732, 3,1172, -40, 17364, 0,64, -636, 19560, -1,-636, -856, 19112, -2,-1256, -1480, 17808, -4
-2636, 1296, 16364, 4,-4364, 1788, 16272, 6,-8504, 1636, 16244, 5,-10052, 1524, 16012, 5,-4024, 976, 13740, 4,-1216, 552, 14860, 2,-1644, 1224, 17304, 4,-640, 2048, 17720, 6,-1440, 136, 17512, 0,-2840, -1028, 16952, -3
-5756, 1184, 15808, 4,-8404, 1040, 15900, 3,-9848, 1100, 15672, 4,-3456, 1256, 14364, 4,-968, 2200, 16716, 7,-1120, -624, 17116, -2,-104, 192, 17196, 0,-1524, -268, 17704, 0,-1996, -1616, 16708, -5,-1672, -1988, 16688, -6
-8708, -324, 15208, -1,-6436, -1280, 16680, -4,-5004, -336, 17444, -1,-4192, -1000, 17152, -3,-4240, -2344, 14748, -9,-3168, -2124, 14408, -8,-3948, -1104, 16332, -3,-3272, -944, 15976, -3,-3032, -792, 16676, -2,-1684, -712, 15060, -2