5380, -4420, 15620, -15,5336, -4352, 15764, -15,5168, -4432, 15820, -15,5200, -4144, 15936, -14,5196, -4072, 15952, -14,5272, -4392, 15740, -15,5208, -4296, 15764, -15,5252, -4312, 15600, -15,5148, -4200, 15876, -14,5092, -4224, 15988, -14
5012, -4152, 15924, -14,5088, -4076, 15880, -14,5128, -4156, 15672, -14,4968, -4148, 15836, -14,4976, -4044, 15888, -14,4972, -4008, 15932, -14,4948, -3856, 15792, -13,4988, -3972, 16164, -13,4904, -4184, 15920, -14,4940, -4144, 15864, -14
4772, -4076, 16048, -14,4820, -4148, 15984, -14,4804, -3976, 15888, -14,4872, -3928, 15864, -13,4784, -4024, 15916, -14,4708, -4008, 16028, -14,4780, -3956, 16048, -13,4872, -4080, 15872, -14,4760, -4092, 16088, -14,4664, -4132, 16084, -14
4780, -4092, 16008, -14,4696, -3972, 15948, -13,4816, -3948, 15952, -13,4708, -4048, 16044, -14,4796, -3828, 15880, -13,4612, -3936, 15896, -13,4596, -4004, 15836, -14,4668, -4000, 16000, -14,4684, -4008, 16036, -14,4656, -4024, 16068, -14
4516, -4044, 16128, -14,4556, -3920, 16024, -13,4580, -3832, 16112, -13,4548, -3788, 16036, -13,4424, -4020, 15948, -14,4552, -3944, 16068, -13,4620, -3844, 15972, -13,4452, -3872, 15948, -13,4476, -4088, 16080, -14,4528, -4076, 16008, -14
4516, -3948, 16128, -13,4472, -3964, 15848, -14,4332, -3988, 16152, -13,4480, -3780, 16040, -13,4412, -3688, 15988, -12,4480, -4036, 16140, -14,4476, -4092, 16120, -14,4336, -3968, 16176, -13,4476, -3836, 16096, -13,4468, -3776, 15908, -13
4420, -3936, 16220, -13,4360, -3944, 16036, -13,4428, -4068, 16064, -14,4500, -3820, 15976, -13,4440, -3836, 16152, -13,4604, -3980, 16220, -13,4448, -4028, 16064, -14,4332, -4140, 16176, -14,4300, -3900, 16108, -13,4380, -3872, 16140, -13
4388, -4020, 16048, -14,4384, -4028, 16388, -13,4496, -3932, 15972, -13,4356, -4012, 15920, -14,4320, -3856, 16204, -13,4540, -3804, 16140, -13,4348, -3900, 16004, -13,4448, -3860, 16112, -13,4480, -4000, 15768, -14,4432, -3780, 16112, -13
4144, -3904, 16216, -13,4120, -3760, 16148, -13,4056, -4032, 15852, -14,3420, -3780, 16432, -12,3452, -3620, 16436, -12,3336, -3844, 16280, -13,3144, -3612, 16468, -12,3144, -3528, 16488, -12,3092, -3552, 16520, -12,3144, -3360, 16584, -11
4692, -3988, 15880, -14,5620, -4372, 15284, -15,5728, -4060, 15128, -15,6520, -4144, 14904, -15,7260, -4156, 14480, -16,7436, -4880, 15028, -17,7812, -4796, 15568, -17,8252, -5156, 15188, -18,9072, -4632, 14436, -17,8216, -4616, 14572, -17
10396, -4672, 13156, -19,10292, -5480, 13264, -22,10076, -4880, 12744, -20,10032, -4648, 12596, -20,11264, -5108, 11568, -23,11932, -5408, 10876, -26,13128, -4788, 10380, -24,12880, -4604, 10056, -24,12476, -5152, 10944, -25,12588, -5328, 11372, -25
10704, -5844, 12124, -25,11120, -4908, 11960, -22,11760, -4612, 11396, -22,11816, -4824, 11432, -22,12308, -5052, 11432, -23,12272, -5472, 10932, -26,11812, -6232, 11128, -29,11352, -5788, 11296, -27,10924, -5328, 11756, -24,10992, -5020, 12012, -22
11480, -5000, 11588, -23,11968, -4832, 11672, -22,11092, -4696, 11772, -21,9564, -4916, 13336, -20,9568, -4424, 13652, -17,9076, -4884, 13880, -19,9196, -4972, 13884, -19,9304, -4708, 13868, -18,9296, -4712, 13552, -19,8908, -4756, 13916, -18
8564, -4380, 14268, -17,8400, -4140, 14240, -16,8416, -4044, 14272, -15,7900, -4176, 14508, -16,8016, -4240, 14496, -16,8124, -4252, 14408, -16,8000, -4276, 14628, -16,8000, -4444, 14676, -16,7904, -4468, 14684, -16,7976, -4236, 14676, -16
7624, -4036, 14936, -15,7276, -3984, 14952, -14,7236, -4076, 15164, -15,7092, -3856, 15216, -14,6980, -3552, 15296, -13,6804, -3664, 15444, -13,6828, -3592, 15304, -13,6976, -3584, 15236, -13,6776, -3472, 15360, -12,6884, -3380, 15248, -12
5864, -1028, 16192, -3,5912, -632, 15884, -2,6096, 20, 15908, 0,5536, 4, 16076, 0,5808, -392, 16092, -1,5740, -768, 16288, -2,6152, -636, 16032, -2,6328, -128, 15792, 0,6724, 388, 15920, 1,4996, -1772, 17132, -5
2484, -132, 16720, 0,2472, -60, 16812, 0,2056, -400, 16920, -1,1896, -492, 16888, -1,2236, -572, 16796, -1,2244, -212, 16848, 0,2512, -492, 16908, -1,3124, -76, 16616, 0,2872, -492, 16688, -1,3272, -516, 16788, -1
5412, -1000, 16236, -3,5592, -996, 16072, -3,5652, -588, 16048, -2,5748, -684, 16012, -2,5644, -960, 16112, -3,5488, -1148, 16244, -4,5732, -656, 16088, -2,5844, -768, 16128, -2,6036, -896, 15980, -3,6100, -568, 15784, -2
6048, -804, 15876, -2,6020, -796, 15916, -2,5976, -960, 16096, -3,6024, -916, 16032, -3,5972, -824, 15952, -2,5856, -1020, 16084, -3,5808, -964, 16048, -3,5796, -804, 15968, -2,5772, -716, 16008, -2,6000, -744, 16148, -2
6220, -836, 16088, -2,6112, -740, 15852, -2,5828, -904, 16064, -3,6004, -596, 16268, -2,5752, -904, 16560, -3,5708, -876, 16484, -3,5996, -892, 16100, -3,5716, -988, 16100, -3,5928, -1152, 15788, -4,6048, -916, 15824, -3
6208, -1324, 15980, -4,5932, -1560, 15980, -5,6060, -1436, 16016, -5,6080, -1676, 16156, -5,5952, -1576, 16228, -5,6036, -1384, 16272, -4,6012, -1140, 15908, -4,6376, -1268, 15420, -4,6284, -1688, 15748, -6,6064, -1344, 16180, -4
6136, -1664, 15888, -5,6244, -1736, 15784, -6,6256, -1620, 16004, -5,6304, -1716, 15912, -6,6144, -1876, 15712, -6,6372, -1568, 15884, -5,6276, -1788, 15756, -6,6212, -1800, 15696, -6,6168, -1708, 15828, -6,6168, -1588, 15972, -5
6312, -1680, 15744, -6,6228, -1696, 15660, -6,6124, -1992, 16036, -7,6832, -1672, 15720, -6,6660, -1572, 15880, -5,6972, -1708, 15844, -6,6848, -1756, 15716, -6,6992, -1844, 15580, -6,6864, -1748, 15580, -6,6784, -1872, 15360, -6
7128, -2028, 15356, -7,7096, -2032, 15692, -7,7308, -1912, 15828, -6,7024, -1712, 15940, -6,7016, -1312, 15680, -4,6204, -1392, 15572, -5,5948, -1368, 15900, -4,5492, -2012, 16048, -7,5016, -1696, 16224, -5,5008, -1668, 16408, -5
2544, -1840, 16712, -6,2332, -1644, 16980, -5,2412, -1532, 16860, -5,2320, -1560, 17072, -5,2168, -1548, 16872, -5,2284, -1672, 16720, -5,2168, -1600, 16728, -5,1904, -1648, 16640, -5,2156, -1640, 16632, -5,2072, -1728, 16776, -5